GRBa	GRB X-ray position	Error	Instrument	IPNb	XAb	OTb	RAb	IAUC	zc
110915B	05h10m12s +01° 56'	4	AGILE	 	y	 	 	 	 
110915A	20h43m24s -00° 43'	3	Swift	 	y	 	 	 	 
110906A	19h47m34s -26° 13'	3.8	Swift	 	 	 	 	 	 
110903A	13h08m09s +59° 00'	3	INTEGRAL	y	y	 	 	 	 
110827A	10h56m23s +53° 47'	3	Swift	 	 	 	 	 	 
110825A	02h59m35s +15° 24'	120*1	Fermi	y	 	 	 	 	 
110820B	10h30m20s -54° 36'	120*2	IPN	y	 	 	 	 	 
110820A	22h53m20s +70° 18'	3	Swift	 	y	 	 	 	 
110818A	21h09m32s -63° 58'	3	Swift	 	y	y	 	 	3.36
110815A	05h41m11s +32° 27'	6*32	IPN	y	 	 	 	 	 
110812A	23h53m38s +72° 12'	3	AGILE	 	 	 	 	 	 
110808A	03h49m03s -44° 11'	3	Swift	y	y	y	 	 	1.348
110802AS	02h57m49s +32° 36'	50*1	IPN	y	 	 	 	 	 
110801A	05h59m22s +80° 59'	3	Swift	 	y	y	 	 	1.858
110731A	18h42m05s -28° 33'	3	Swift	y	y	y	 	 	2.83
110726A	19h07m00s +56° 03'	3	Swift	 	y	y	 	 	1.036-2.7
110721A	22h13m36s -39° 00'	45	Fermi	y	 	 	 	 	 
110719A	01h38m15s +34° 34'	3	Swift	 	y	 	 	 	 
110715A	15h50m38s -46° 14'	3	Swift	y	y	y	y	 	0.82
110709B	10h58m27s -23° 29'	3	Swift	y	y	 	y	 	2.09?
110709A	15h55m35s +40° 54'	3	Swift	y	y	 	 	 	 
110708A	22h40m20s +53° 57'	3	INTEGRAL	 	y	 	 	 	 
110625A	19h07m00s +06° 45'	3	Swift	y	y	 	 	 	 
110610A	20h32m36s +74° 49'	3	Swift	y	y	 	 	 	 
110604A	18h04m01s +18° 28'	5	IPN	y	y	 	 	 	 
110530A	18h48m11s +61° 65'	3	Swift	 	y	y	 	 	 
110521A	08h00m35s +45° 48'	3	Swift	 	y	 	 	 	 
110520A	08h57m30s +56° 24'	3	Swift	 	y	y	 	 	 
110519A	17h26m31s -23° 24'	3	Swift	 	 	 	 	 	 
110518A	04h28m43s -34° 12'	90*6	IPN	y	 	 	 	 	 
110503A	08h51m12s +52° 13'	3	Swift	y	y	y	y	 	1.613
110428A	00h21m12s +64° 48'	9	Fermi	y	y	 	 	 	 
110426A	14h44m00s -11° 10'	15*180	MAXI	 	 	 	 	 	 
110422A	07h27m59s +75° 06'	3	Swift	y	y	y	 	 	1.770
110420BS	21h20m12s -41° 16'	3	Swift	y	 	 	 	 	 
110420A	00h08m40s -37° 51'	3	Swift	y	y	y	 	 	 
110414A	06h31m30s +24° 22'	3	Swift	 	y	 	 	 	 
110412A	08h53m58s +13° 31'	3	Swift	y	 	 	 	 	 
110411A	19h25m45s +67° 44'	3	Swift	 	y	 	 	 	 
110407A	12h23m59s +15° 43'	3	Swift	 	y	y	 	 	 
110406A	01h09m22s +35° 49'	24*25	INTEGRAL	y	 	 	 	 	 
110402A	13h09m41s +61° 14'	3	Swift	y	y	y	 	 	 
110328B	07h50m24s +43° 12'	102	Fermi	y	 	 	 	 	 
110319B	21h44m18s -56° 46'	3	Swift	 	y	 	 	 	 
110319A	23h45m36s -66° 01'	3	Swift	 	y	y	 	 	 
110318B	14h06m47s -51° 34'	3	Swift	 	y	 	 	 	 
110318A	22h33m06s -15° 17'	3	Swift	y	 	 	 	 	 
110315A	18h36m46s +17° 32'	3	Swift	 	y	 	 	 	 
110312A	10h29m55s -05° 15'	3	Swift	 	y	 	 	 	 
110305A	17h23m31s -15° 47'	3	Swift	 	y	y	 	 	 
110223B	10h01m06s -68° 20'	3	Swift	 	y	y	 	 	 
110223A	23h02m24s +87° 34'	3	Swift	 	y	 	 	 	 
110213B	02h46m27s +01° 11'	10	MAXI	y	y	y	 	 	1.083
110213A	02h52m01s +49° 17'	3	Swift	y	y	y	 	 	1.46
110212A	04h36m13s +43° 42'	3	Swift	 	 	 	 	 	 
110210A	00h52m19s +07° 47'	3	Swift	 	y	 	 	 	 
110208A	01h29m56s -20° 38'	3	Swift	 	y	y	 	 	 
110207A	00h50m10s -10° 48'	3	Swift	y	n	 	 	 	 
110206A	06h09m29s -58° 47'	3.3	INTEGRAL	 	y	y	 	 	 
110205A	10h58m21s +67° 31'	3	Swift	y	y	y	y	 	2.22
110201A	09h08m16s +88° 36'	3	Swift	y	y	 	 	 	 
110128A	12h55m30s +28° 05'	3	Swift	y	y	y	 	 	2.339
110119A	23h14m14s +05° 59'	3	Swift	y	y	y	 	 	 
110112B	00h42m24s +64° 24'	3	INTEGRAL	y	 	 	n	 	 
110112AS	21h59m46s +26° 29'	3	Swift	 	y	y	n	 	 
110107A	19h59m34s +41° 53'	3	Swift	y	 	 	 	 	 
110106B	08h56m47s +47° 00'	3	Swift	y	y	y	n	 	0.618
110106A	05h17m08s +64° 11'	3	Swift	 	y	 	 	 	 
110102A	16h23m31s +07° 37'	3	Swift	y	y	y	 	 	 
101225A	00h00m56s +44° 36'	3	Swift	 	y	y	 	 	0.847
101224AS	19h03m42s +45° 43'	3	Swift	y	y	 	n	 	 
101219B	00h49m02s -34° 32'	3	Swift	y	y	y	y?	 	0.55
101219AS	04h58m28s -02° 32'	3	Swift	y	y	 	 	 	0.718
101213A	16h05m09s +21° 55'	3	Swift	y	y	 	 	 	0.414
101204A	11h10m12s -20° 26'	3	Swift	 	y	y	 	 	 
101201A	00h07m49s -16° 12'	3	Fermi	y	y	y	 	 	 
101129AS	10h23m41s -17° 39'	3	Fermi	y	 	 	 	 	 
101117B	11h31m38s -72° 40'	3	Swift	 	y	y	 	 	 
101114A	20h12m46s +14° 02'	1.8	Swift	y	y	 	 	 	 
101112A	19h28m54s +39° 21'	2.6	INTEGRAL	y	y	y	y?	 	 
101030A	11h05m34s -16° 23'	3	Swift	 	y	y	 	 	 
101024A	04h25m54s -77° 15'	3	Swift	y	y	y	 	 	 
101023A	21h11m49s -65° 24'	3	Swift	y	y	y	 	 	 
101020A	12h38m16s +23° 10'	3	Swift	 	 	 	 	 	 
101017A	19h25m31s -35° 08'	3	Swift	y	y	 	 	 	 
101011A	03h13m12s -65° 59'	3	Swift	y	y	y	 	 	 
101008A	21h55m34s +37° 04'	3	Swift	y	y	y	 	 	 
100928A	14h52m09s -28° 34'	3	Swift	 	 	 	 	 	 
100924A	00h02m41s +07° 01'	3	Swift	y	y	y	 	 	 
100917A	19h17m04s -17° 06'	3	Swift	 	 	 	 	 	 
100915B	05h41m31s +25° 05'	3	INTEGRAL	y	n	 	 	 	 
100915A	21h02m36s +65° 40'	3	Swift	 	y	 	 	 	 
100909A	04h55m48s +54° 39'	2	INTEGRAL	 	y	y	 	 	 
100906A	01h54m50s +55° 37'	3	Swift	y	y	y	 	 	1.727
100905A	02h06m07s +14° 56'	3	Swift	 	y	y	 	 	7.9
100904A	11h31m41s -16° 13'	3	Swift	 	 	 	 	 	 
100902A	03h14m35s +30° 58'	3	Swift	 	y	y	 	 	 
100901A	01h48m59s +22° 45'	3	Swift	 	y	y	 	 	1.408
100823A	01h22m49s +05° 51'	3	Swift	 	y	 	 	 	 
100816AS	23h26m58s +26° 34'	3	Swift	y	y	y	 	 	0.8049
100814A	01h29m55s -17° 59'	3	Swift	y	y	y	y	 	1.44
100807A	03h41m18s +67° 41'	3	Swift	 	y	 	 	 	 
100805A	19h59m30s +52° 37'	3	Swift	 	y	y	 	 	 
100802A	00h09m50s +47° 45'	3	Swift	 	y	y	 	 	<4
100728B	02h56m13s +00° 17'	3	Swift	y	y	y	 	 	2.106
100728A	05h08m16s -14° 20'	3	Swift	y	y	y	 	 	1.567
100727A	10h16m40s -21° 22'	3	Swift	y	y	 	 	 	 
100725B	19h20m06s +76° 57'	3	Swift	y	y	 	 	 	 
100725A	11h06m04s -26° 41'	3	Swift	 	y	 	 	 	 
100724B	08h00m10s +76° 44'	66	Fermi	y	 	 	 	 	 
100724A	12h58m16s -11° 07'	3	Swift	 	y	y	 	 	1.288
100719A	07h29m03s -05° 50'	3	Swift	 	 	 	 	 	 
100713A	17h00m50s +28° 23'	3	INTEGRAL	 	y	 	 	 	 
100707A	23h52m05s -08° 39'	3	IPN	y	 	 	 	 	 
100704A	08h54m33s -24° 13'	3	Swift	y	y	 	 	 	 
100703AS	00h38m05s -25° 43'	2.8	INTEGRAL	 	 	 	 	 	 
100702AS	16h22m49s -56° 32'	3	Swift	 	y	 	 	 	 
100628AS	15h03m52s -31° 40'	3	Swift	y	 	 	 	 	 
100625AS	01h03m05s -39° 05'	3	Swift	y	y	 	 	 	0.452
100621A	21h01m14s -51° 05'	3	Swift	y	y	y	 	 	0.542
100619A	05h38m28s -27° 00'	3	Swift	y	y	 	 	 	 
100615A	11h48m50s -19° 30'	3	Swift	y	y	 	 	 	1.398
100614A	17h34m05s +49° 14'	3	Swift	 	y	 	 	 	 
100606A	23h22m25s -66° 14'	3	Swift	y	y	 	 	 	 
100528A	20h44m29s +27° 49'	5	AGILE	y	y	y	 	 	 
100526B	00h02m48s -37° 54'	3	Swift	 	y	 	 	 	 
100526A	15h23m08s +25° 38'	3	Swift	 	y	y	 	 	 
100522A	20h27m56s +09° 25'	3	Swift	y	y	 	 	 	 
100518A	20h19m13s -24° 32'	3	INTEGRAL	 	y	y	 	 	4.0ph
100514A	21h55m17s +29° 10'	3	Swift	 	y	 	 	 	 
100513A	11h18m19s +03° 36'	3	Swift	 	y	y	 	 	4.772
100510A	23h43m46s -35° 35'	30*100'	MAXI	y	 	 	 	 	 
100508A	05h05m00s -20° 43'	3	Swift	 	y	y	 	 	0.5201
100504A	17h02m17s -35° 36'	3	Swift	y	y	 	 	 	 
100427A	05h56m41s -03° 28'	3	Swift	y	 	 	 	 	 
100425A	19h56m45s -26° 26'	3	Swift	 	y	y	 	 	1.755
100424A	13h57m49s +01° 31'	3	Swift	 	y	y	n	 	2.465
100423A	09h05m54s +21° 29'	3	Swift	y	 	y	 	 	 
100420A	19h44m31s +55° 48'	3	Swift	 	y	 	 	 	 
100418A	17h05m30s +11° 28'	3	Swift	 	y	y	y	 	0.6235
100415A	00h29m48s -16° 24'	90*105	MAXI	 	 	 	 	 	 
100414A	12h14m28s +20° 27'	11	Fermi	y	y	y	y	 	1.368
100413B	23h47m16s +51° 19'	3	Swift	 	n	 	 	 	 
100413A	17h44m52s +15° 50'	3	Swift	y	y	n	n	 	 
100401A	19h23m15s -08° 15'	2	Swift	y	n	 	 	 	 
100331B	20h11m57s -11° 04'	6	AGILE	 	?	n	 	 	 
100331A	17h24m14s -58° 57'	3	INTEGRAL	 	n	n	 	 	 
100325A	22h00m58s -26° 28'	54	Fermi	 	 	 	 	 	 
100324A	06h34m27s -09° 44'	3	Swift	 	 	n	 	 	 
100322BS	05h05m57s +42° 41'	3	Swift	 	 	 	 	 	 
100316D	07h10m28s -56° 09'	3	Swift	 	y	y	 	 	0.059
100316C	02h09m10s -68° 01'	3	Swift	 	y	 	 	 	 
100316B	10h54m00s -45° 29'	3	Swift	 	y	y	 	 	1.180
100316A	16h48m08s +71° 50'	3	Swift	 	y	y	 	 	3.155
100305A	11h13m28s +42° 23'	3	Swift	 	y	 	 	 	 
100302A	13h01m23s +74° 35'	3	Swift	 	y	y	 	 	4.813
100225A	20h41m12s -59° 24'	72	Fermi	 	 	 	 	 	 
100224A	05h33m52s -08° 00'	3	Swift	 	 	 	 	 	 
100219A	10h16m53s -12° 34'	3	Swift	 	y	y	 	 	4.6667
100216AS	10h17m03s +35° 31'	3	Fermi	y	 	 	 	 	 
100213B	08h17m21s +43° 27'	3	Swift	 	y	y	 	 	 
100213AS	23h17m43s +43° 23'	3	Swift	 	y	 	 	 	 
100212A	23h45m51s +49° 30'	3	Swift	y	y	y	 	 	 
100206AS	03h08m42s +13° 10'	3	Swift	y	y	 	 	 	0.4068
100205A	09h25m37s +31° 44'	3	Swift	 	y	y	 	 	 
100203A	06h24m54s +04° 48'	3	Swift	 	 	 	 	 	 
100119A	19h57m18s -53° 10'	3	Swift	y	 	 	 	 	 
100117AS	00h45m02s -01° 36'	3	Swift	y	y	y	 	 	0.92
100116A	20h20m05s +14° 27'	21	Fermi	y	 	 	 	 	 
100115A	00h13m20s -00° 49'	4	Swift	 	y	y	 	 	 
100111A	16h28m09s +15° 33'	3	Swift	y	y	y	 	 	 
100103A	07h29m27s -34° 27'	3	INTEGRAL	y	y	 	 	 	 
091230	08h51m51s -53° 53'	3	INTEGRAL	 	y	y	 	 	 
091221	03h43m01s +23° 13'	3	Swift	y	y	y	 	 	 
091208B	01h57m39s +16° 53'	3	Swift	y	y	y	 	 	1.063
091208	00h01m06s +65° 40'	3	Swift	y	n	n	 	 	 
091202	09h15m11s +62° 33'	3	INTEGRAL	 	y	 	 	 	 
091130B	13h32m24s +34° 05'	3	Swift	 	y	 	 	 	 
091127	02h26m17s -18° 57'	3	Swift	y	y	y	n	 	0.49
091120	15h07m14s -21° 47'	60	Fermi	y	 	 	 	 	 
091117S	02h03m47s -16° 57'	3	Swift	y	n	n	n	 	 
091112	17h11m00s -36° 44'	3	Swift	y	 	 	 	 	 
091111	09h11m15s -45° 55'	3	INTEGRAL	 	y	 	 	 	 
091109BS	07h31m00s -54° 06'	3	Swift	y	y	y	 	 	 
091109	20h37m00s -44° 11'	3	Swift	 	y	y	 	 	3.076
091104	13h54m53s +47° 23'	3	Swift	 	y	 	 	 	 
091102	04h50m29s -72° 32'	3	Swift	y	y	 	 	 	 
091031	04h42m48s -61° 35'	60	Fermi	y	 	 	 	 	 
091029	04h00m44s -56° 00'	3	Swift	 	y	y	 	 	2.752
091026	18h26m20s -86° 07'	3	Swift	y	y	n	 	 	 
091024	22h36m50s +56° 52'	3	Swift	y	y	y	 	 	1.092
091020	11h42m52s +50° 58'	3	Swift	y	y	y	y	 	1.71
091018	02h08m51s -57° 32'	3	Swift	y	y	y	 	 	0.971
091015	20h24m31s -06° 10'	3	INTEGRAL	 	 	 	 	 	 
091010	19h54m40s -22° 32'	3	AGILE	y	y	 	 	 	 
091003	16h46m05s +36° 38'	13	Fermi	y	y	y	 	 	0.8969
090929B	07h50m49s -00° 38'	3	Swift	 	y	y	 	 	 
090929	03h45m58s -05° 58'	3	Fermi	y	n	 	 	 	 
090927	22h55m49s -70° 59'	3	Swift	y	y	y	 	 	1.37
090926B	03h05m16s -39° 01'	3	Swift	y	y	y	 	 	1.24
090926	23h33m36s -66° 19'	3	Fermi	y	y	y	 	 	2.1062
090916	08h26m19s +25° 56'	3	Swift	 	 	 	 	 	 
090915	15h51m58s +15° 29'	3	Swift	 	y	y	 	 	 
090912	12h32m22s +61° 31'	3	Swift	 	y	 	 	 	 
090904B	17h36m46s -25° 13'	3	Swift	y	y	y	 	 	 
090904	06h43m32s +50° 12'	3	Swift	 	y	y	 	 	 
090902B	17h40m00s +27° 20'	6	Fermi	y	y	y	y	 	1.822
090831C	07h13m07s -25° 06'	3	Swift	y	y	 	 	 	 
090831	09h41m36s +51° 24'	60	Fermi	y	 	 	 	 	 
090827	01h13m44s -50° 54'	3	Swift	y	y	 	 	 	 
090823	08h34m51s +60° 40'	4	IPN	y	y	 	 	 	 
090817	04h15m58s +44° 08'	3	INTEGRAL	y	y	 	 	 	 
090815C	04h17m58s -65° 57'	3	Swift	 	 	 	 	 	 
090814B	04h18m59s +60° 36'	3.2	INTEGRAL	 	y	 	 	 	 
090814	15h58m27s +25° 36'	3	Swift	 	y	y	 	 	0.696
090813	15h08m04s +88° 34'	3	Swift	y	y	y	 	 	 
090812	23h32m47s -10° 36'	3	Swift	y	y	y	n	 	2.452
090809	21h54m35s -00° 05'	3	Swift	 	y	y	n	 	2.737
090807	18h14m59s +10° 17'	3	Swift	 	y	 	 	 	 
090728	01h58m38s +41° 39'	3	Swift	 	y	y	 	 	 
090727	21h03m53s +64° 55'	3	Swift	 	y	y	 	 	 
090726	16h35m16s +72° 52'	3	Swift	 	y	y	 	 	2.71
090720	13h34m47s -10° 20'	3	Fermi	y	y	y	 	 	 
090715B	16h45m23s +44° 50'	3	Swift	y	y	y	y	 	3.00
090715S	10h08m29s +10° 00'	3	Swift	y	 	 	 	 	 
090712	04h40m25s +22° 33'	3	Swift	y	 	 	 	 	 
090709B	06h14m22s +64° 05'	3	Swift	y	 	 	 	 	 
090709	19h19m44s +60° 44'	3	Swift	y	y	y	n	 	 
090708	10h18m31s +26° 38'	3	Swift	y	 	 	 	 	 
090704	13h52m49s +22° 47'	1.7	INTEGRAL	y	 	 	 	 	 
090702	11h43m33s +11° 30'	3	INTEGRAL	 	y	 	 	 	 
090628	15h48m12s -15° 45'	3	Swift	 	y	 	 	 	 
090626	11h20m02s -33° 30'	20	Fermi	y	 	 	 	 	 
090625B	00h09m03s -65° 47'	3	INTEGRAL	y	y	 	 	 	 
090621BS	20h53m44s +69° 01'	3	Swift	y	y	 	 	 	 
090621	00h43m57s +61° 58'	3	Swift	y	y	 	 	 	 
090618	19h36m05s +78° 21'	3	Swift	y	y	y	y	 	0.54
090607	12h44m50s +44° 08'	3	Swift	 	y	 	 	 	 
090531B	16h48m15s -36° 01'	3	Swift	y	 	 	 	 	 
090531	11h54m45s +07° 48'	3	Swift	 	 	 	 	 	 
090530	11h57m35s +26° 35'	3	Swift	 	y	y	 	 	1.266
090529	14h09m54s +24° 26'	3	Swift	 	y	y	 	 	2.625
090520	00h46m27s -08° 00'	3	Swift	 	 	 	 	 	 
090519	09h29m10s +00° 11'	3	Swift	 	y	y	 	 	3.85
090518	07h59m44s +00° 46'	3	Swift	 	y	 	 	 	 
090516	09h13m05s -11° 51'	3	Swift	y	y	y	 	 	4.109
090515S	10h56m41s +14° 27'	3	Swift	 	y	 	n	 	 
090510S	22h14m13s -26° 36'	3	Swift	y	y	y	n	 	0.903
090509	16h05m37s -28° 24'	3	Swift	y	n	y	 	 	 
090429B	14h02m49s +32° 10'	3	Swift	 	y	y	 	 	9.2ph
090429	06h02m14s -52° 23'	3	Swift	 	y	 	 	 	 
090427	15h43m43s -13° 30'	130*9	IPN	y	 	 	 	 	 
090426S	12h36m22s +32° 58'	3	Swift	 	y	y	 	 	2.609
090424	12h38m09s +16° 50'	3	Swift	y	y	y	y	 	0.544
090423	09h55m35s +18° 07'	3	Swift	y	y	y	y	 	8.26
090422	19h39m01s +40° 23'	3	Swift	 	y	 	 	 	 
090419	13h07m54s -75° 36'	3	Swift	 	y	 	 	 	 
090418B	15h03m38s +17° 13'	2	Swift	y	 	 	 	 	 
090418	17h57m20s +33° 25'	3	Swift	 	y	y	y	 	1.608
090417B	13h58m49s +47° 00'	3	Swift	 	y	 	 	 	0.345
090417S	02h19m59s -07° 11'	3	Swift	 	 	 	n	 	 
090410	22h19m55s +15° 28'	3	Swift	 	 	 	 	 	 
090407	04h35m50s -12° 40'	3	Swift	 	y	 	 	 	1.4485
090404	15h56m52s +35° 30'	3	Swift	 	y	 	 	 	3.0ph
090401B	06h20m24s -08° 58'	3	Swift	y	y	y	n	 	 
090401	23h23m38s +29° 46'	3	Swift	y	 	 	 	 	 
090328	06h03m29s -41° 57'	9	Fermi	y	y	y	y	 	0.736
090324	17h08m43s -48° 09'	3	AGILE	y	 	 	 	 	 
090323	12h42m46s +17° 05'	8	Fermi	y	y	y	y	 	3.57
090313	13h13m35s +08° 06'	3	Swift	 	y	y	y	 	3.375
090309	18h59m55s -25° 16'	3	Swift	 	y	 	 	 	 
090308	12h14m06s -48° 53'	3	Swift	 	y	 	 	 	 
090307	16h19m55s -28° 39'	3	Swift	 	y	 	 	 	 
090306B	15h24m49s -06° 57'	3	Swift	 	y	 	 	 	 
090305S	16h07m02s -31° 34'	3	Swift	y	y	y	 	 	 
090301	22h32m34s +26° 39'	3	Swift	y	 	 	 	 	 
090217	13h39m36s -08° 24'	31	Fermi	y	 	 	 	 	 
090205	14h43m42s -27° 52'	3	Swift	 	y	y	n	 	4.6497
090201	06h08m07s -46° 35'	3	Swift	y	y	 	n	 	2.100
090129	17h56m22s -32° 50'	3	Swift	y	 	 	 	 	 
090126	00h15m23s +81° 22'	3	AGILE	 	y	 	 	 	 
090123	00h27m06s -23° 31'	3	Swift	 	y	y	 	 	 
090118	03h19m28s +18° 29'	3.7	Swift	 	y	 	 	 	 
090117	10h56m01s -58° 15'	3	AGILE	y	y	 	n	 	 
090113	02h08m18s +33° 27'	3	Swift	 	y	y	 	 	1.7493
090111	16h46m35s +00° 05'	3	Swift	 	y	 	 	 	 
090107B	18h59m15s +59° 36'	3	INTEGRAL	y	 	 	 	 	 
090107	20h09m42s +04° 44'	3	Swift	 	 	 	 	 	 
090102	08h33m02s +33° 05'	3	Swift	y	y	y	n	 	1.547
081230	02h29m16s -25° 08'	3	Swift	 	y	y	 	 	2.0ph
081228	02h37m52s +30° 51'	3	Swift	 	y	y	 	 	3.44ph
081226BS	01h41m51s -47° 25'	3	INTEGRAL	y	n	 	n	 	 
081226S	08h02m06s -69° 00'	3	Swift	y	y	 	n	 	 
081222	01h31m00s -34° 08'	3	Swift	y	y	y	 	 	2.77
081221	01h03m13s -24° 32'	3	Swift	y	y	y	y	 	2.26
081211B	11h12m55s +53° 51'	7	Swift	y	y	 	 	 	 
081211	21h52m21s -33° 49'	3	Swift	 	y	 	 	 	 
081210	04h41m50s -11° 16'	3	Swift	 	y	y	 	 	2.0631
081204	23h18m52s -60° 10'	3	INTEGRAL	 	 	 	 	 	 
081203B	15h15m10s +44° 26'	3	Swift	y	y	y	y	 	 
081203	15h32m08s +63° 30'	3	Swift	y	y	y	n	 	2.05
081128	01h23m12s +38° 07'	3	Swift	 	y	y	 	 	<4
081127	22h08m22s +06° 52'	3	Swift	y	 	 	 	 	 
081126	21h34m10s +48° 43'	3	Swift	y	y	y	n	 	 
081121	05h57m03s -60° 38'	3	Swift	y	y	y	 	 	2.512
081118	05h30m22s -43° 18'	3	Swift	 	y	y	 	 	2.58
081109	22h03m09s -54° 43'	3	Swift	 	y	y	n	 	0.9787
081105	00h15m52s +03° 27'	3	Swift	 	y	 	 	 	 
081104	06h41m56s -54° 44'	3	Swift	 	y	 	n	 	 
081102	22h04m44s +53° 00'	3	Swift	 	y	 	 	 	 
081101S	06h23m18s -00° 05'	3	Swift	y	 	 	 	 	 
081029	23h06m49s -68° 10'	3	Swift	 	y	y	 	 	3.8479
081028	08h07m34s +02° 19'	3	Swift	 	y	y	 	 	3.038
081025	16h21m12s +60° 28'	3	Swift	y	 	 	 	 	 
081024B	21h31m36s +21° 12'	9.'6	Fermi	y	 	 	n	 	 
081024	01h51m36s +61° 21'	3	Swift	 	y	 	 	 	 
081022	15h06m28s +12° 25'	3	Swift	 	 	 	 	 	 
081017	15h20m43s -32° 49'	3	Swift	 	 	 	 	 	 
081016B	00h58m28s -43° 33'	3	Swift	 	y	 	 	 	 
081016	17h02m16s -23° 20'	2.'6	INTEGRAL	 	y	 	 	 	 
081012	02h00m52s -17° 38'	3	Swift	y	y	 	 	 	 
081011	14h41m27s +33° 36'	3	Swift	 	y	y	 	 	 
081008	18h39m57s -57° 28'	3	Swift	 	y	y	n	 	1.9685
081007	22h39m54s -40° 08'	3	Swift	y	y	y	y	 	0.5295
081003B	19h00m28s +16° 41'	3	INTEGRAL	 	 	 	 	 	 
081003	17h29m30s +16° 34'	2	INTEGRAL	 	y	 	 	 	 
081001	18h26m18s -08° 45'	3	AGILE	y	y	 	 	 	 
080928	06h20m20s -55° 10'	3	Swift	y	y	y	 	 	1.692
080922	18h03m23s -22° 29'	2.'7	INTEGRAL	 	n	 	 	 	 
080919S	17h41m09s -42° 24'	3'	Swift	 	y	 	 	 	 
080916C	07h59m31s -56° 35'	10'	Fermi	y	y	y	 	 	4.35ph
080916B	10h54m30s +69° 03'	3'	Swift	 	y	y	 	 	 
080916	22h25m12s -57° 01'	3'	Swift	y	y	y	 	 	0.689
080915B	14h12m19s -11° 28'	3'	Swift	 	 	 	 	 	 
080915	01h12m01s -76° 01'	3'	Swift	 	y	 	 	 	 
080913	04h22m54s -25° 07'	3'	Swift	y	y	y	 	 	6.695
080906	15h11m34s -80° 29'	3'	Swift	 	y	y	 	 	2.1ph
080905B	20h06m53s -62° 34'	3'	Swift	y	y	y	 	 	2.374
080905S	19h10m39s -18° 53'	3'	Swift	y	y	y	 	 	0.1218
080903	05h47m11s +51° 20'	3'	Swift	 	y	y	 	 	 
080828	13h18m31s -65° 56'	3'	AGILE	 	y	 	 	 	 
080825B	13h57m08s -68° 57'	3'	AGILE	y	y	y	 	 	4.3ph
080822B	04h13m59s +25° 45'	3'	Swift	 	 	 	 	 	 
080810	23h47m07s +00° 19'	3'	Swift	y	y	y	y	 	3.35
080805	20h56m55s -62° 26'	3'	Swift	 	y	y	 	 	1.505
080804	21h54m48s -53° 12'	3'	Swift	y	y	y	 	 	2.2045
080802	18h02m54s -32° 20'	3'	Swift	 	y	 	 	 	 
080727C	02h10m35s +64° 09'	3'	Swift	y	y	 	 	 	 
080727B	18h27m29s +01° 10'	3'	Swift	y	y	y	 	 	 
080727	13h53m33s -18° 33'	3'	Swift	 	y	 	 	 	 
080726	01h21m35s +13° 55'	5'	AGILE	 	 	 	 	 	 
080725	08h06m52s -13° 59'	3'	Swift	 	 	 	 	 	 
080723B	11h47m10s -60° 14'	3'	INTEGRAL	y	y	 	n	 	 
080723	18h18m03s -06° 55'	3'	Swift	 	y	 	 	 	 
080721	14h57m53s -11° 43'	3'	Swift	y	y	y	n	 	2.591
080714	12h32m26s -60° 17'	3'	Swift	y	y	y	 	 	 
080710	00h33m02s +19° 30'	3'	Swift	 	y	y	 	 	0.845
080707	02h10m32s +33° 09'	3'	Swift	 	y	y	 	 	1.23
080703	06h47m28s -63° 13'	3'	Swift	 	y	y	 	 	<5.5
080702B	23h42m24s -05° 29'	3'	Swift	 	y	 	 	 	 
080702S	20h51m25s +72° 18'	3'	Swift	 	y	 	n	 	 
080701	03h03m21s +75° 29'	3'	Swift	 	y	 	 	 	 
080625	19h53m46s +56° 16'	3'	AGILE	 	y	y	 	 	 
080623	15h50m38s -62° 02'	3'	Swift	y	y	 	 	 	 
080613B	11h35m11s -07° 06'	3'	Swift	y	y	 	 	 	 
080613	14h13m01s +05° 09'	2.8'	INTEGRAL	 	y	y	n	 	 
080607	12h59m52s +15° 54'	3'	Swift	y	y	y	 	 	3.036
080605	17h28m31s +04° 00'	3'	Swift	y	y	y	 	 	1.6398
080604	15h47m53s +20° 33'	3'	Swift	 	y	y	n	 	1.416
080603B	11h46m07s +68° 05'	3'	Swift	y	y	y	n	 	2.69
080603	18h37m31s +62° 44'	3'	INTEGRAL	 	y	y	y	 	1.688
080602	01h16m41s -09° 15'	3'	Swift	y	y	n	 	 	1.8204
080523	01h22m56s -64° 03'	3'	Swift	 	y	y	n	 	<3.0
080520	18h40m46s -55° 00'	3'	Swift	 	y	y	n	 	1.545
080517	06h49m01s +50° 44'	3'	Swift	 	y	 	 	 	0.089
080516	08h02m31s -26° 11'	3'	Swift	 	y	y	 	 	 
080515X	00h12m36s +32° 36'	3'	Swift	 	y	y	 	 	2.47
080514B	21h31m17s +00° 44'	17'*6'	AGILE/IPN	y	y	y	 	 	1.8ph
080507	15h34m53s +56° 25'	3'	AGILE	y	y	y	 	 	 
080506	21h57m44s +39° 00'	3'	Swift	 	y	y	n	 	 
080503S	19h06m28s +68° 47'	3'	Swift	 	y	y	 	 	 
080430	11h01m17s +51° 41'	3'	Swift	 	y	y	n	 	0.767
080426	01h46m18s +69° 29'	3'	Swift	 	y	 	 	 	 
080414	18h08m30s -18° 52'	2'	INTEGRAL	 	 	 	 	 	 
080413B	21h44m32s -19° 58'	3'	Swift	y	y	y	n	 	1.10
080413	19h09m10s -27° 41'	3'	Swift	y	y	y	 	 	2.433
